A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very low packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, high packet size variability, high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, high packet size variability, moderate average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A high UDP-based flow with low throughput, low packet rate, very high directional balance, moderate packet size variability, low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very low TCP-based flow with very low throughput, very high packet rate, very high directional balance, very low packet size variability, very low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with low throughput, low packet rate, moderate directional balance, very high packet size variability, very high average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, very high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, moderate packet size variability, high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with very low throughput, low packet rate, moderate directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A moderate TCP-based flow with moderate throughput, high packet rate, very high directional balance, very high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with high throughput, moderate packet rate, very high directional balance, moderate packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, high packet rate, very high directional balance, very high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, high packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with high throughput, moderate packet rate, very high directional balance, very high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, very low packet size variability, very low average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, high packet size variability, high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high UDP-based flow with moderate throughput, low packet rate, moderate directional balance, very low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low TCP-based flow with high throughput, high packet rate, very high directional balance, high packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very low packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very high throughput, very high packet rate, moderate directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with very high throughput, moderate packet rate, moderate directional balance, very high packet size variability, very high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a irregular short burst behavior.
A high TCP-based flow with very high throughput, high packet rate, moderate directional balance, very high packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low TCP-based flow with low throughput, high packet rate, moderate directional balance, low packet size variability, very low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with moderate throughput, low packet rate, very high directional balance, moderate packet size variability, moderate average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high UDP-based flow with moderate throughput, low packet rate, moderate directional balance, low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with very low throughput, very low packet rate, moderate directional balance, very low packet size variability, moderate average packet size, very high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, very high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with moderate throughput, low packet rate, very high directional balance, very high packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with very low throughput, very low packet rate, moderate directional balance, very low packet size variability, very low average packet size, very high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A very high TCP-based flow with very low throughput, low packet rate, very high directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A moderate UDP-based flow with very high throughput, moderate packet rate, moderate directional balance, very low packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A moderate UDP-based flow with low throughput, low packet rate, very high directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with very low throughput, very low packet rate, moderate directional balance, high packet size variability, high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very high UDP-based flow with low throughput, low packet rate, very high directional balance, low packet size variability, very low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, high packet size variability, moderate average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very high UDP-based flow with low throughput, very low packet rate, very high directional balance, high packet size variability, high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A high UDP-based flow with moderate throughput, low packet rate, moderate directional balance, very low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high UDP-based flow with low throughput, low packet rate, moderate directional balance, very low packet size variability, high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with high throughput, moderate packet rate, very high directional balance, moderate packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with low throughput, moderate packet rate, very high directional balance, moderate packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with very low throughput, very low packet rate, very high directional balance, very low packet size variability, very low average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high UDP-based flow with low throughput, low packet rate, very high directional balance, very low packet size variability, moderate average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low TCP-based flow with very low throughput, very high packet rate, very high directional balance, very low packet size variability, very low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with low throughput, low packet rate, very high directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with low throughput, low packet rate, very high directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with low throughput, very low packet rate, moderate directional balance, very high packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very low throughput, very low packet rate, very high directional balance, very low packet size variability, very low average packet size, very high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A very high TCP-based flow with low throughput, very low packet rate, moderate directional balance, very high packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with very low throughput, low packet rate, very high directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, high packet size variability, moderate average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A high UDP-based flow with moderate throughput, low packet rate, moderate directional balance, low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, high packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with very high throughput, moderate packet rate, moderate directional balance, very low packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, high packet size variability, moderate average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very low UDP-based flow with very high throughput, very high packet rate, moderate directional balance, moderate packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very low TCP-based flow with very low throughput, very high packet rate, moderate directional balance, very low packet size variability, very low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low TCP-based flow with high throughput, high packet rate, moderate directional balance, very high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with high throughput, moderate packet rate, very high directional balance, very high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with low throughput, low packet rate, very high directional balance, very high packet size variability, high average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with very high throughput, very high packet rate, moderate directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with low throughput, low packet rate, moderate directional balance, very high packet size variability, high average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with very high throughput, high packet rate, moderate directional balance, very low packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate TCP-based flow with moderate throughput, high packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, high packet size variability, very high average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, moderate average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with moderate throughput, low packet rate, moderate directional balance, very high packet size variability, very high average packet size, high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, very high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with very low throughput, very low packet rate, very high directional balance, moderate packet size variability, very low average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high UDP-based flow with high throughput, low packet rate, moderate directional balance, very low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with high throughput, high packet rate, moderate directional balance, very high packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A moderate UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, high packet rate, very high directional balance, very high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate TCP-based flow with high throughput, high packet rate, moderate directional balance, very high packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high UDP-based flow with moderate throughput, low packet rate, moderate directional balance, very low packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, very high directional balance, low packet size variability, moderate average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with low throughput, moderate packet rate, very high directional balance, moderate packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with very low throughput, low packet rate, moderate directional balance, high packet size variability, low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A high UDP-based flow with very low throughput, low packet rate, very high directional balance, very low packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A moderate UDP-based flow with high throughput, moderate packet rate, very high directional balance, moderate packet size variability, very high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with very low throughput, very low packet rate, moderate directional balance, very low packet size variability, very low average packet size, very high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A low UDP-based flow with high throughput, moderate packet rate, very high directional balance, moderate packet size variability, very high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high TCP-based flow with very low throughput, low packet rate, moderate directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A moderate TCP-based flow with moderate throughput, moderate packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A very low TCP-based flow with very low throughput, very high packet rate, moderate directional balance, very low packet size variability, very low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with moderate throughput, moderate packet rate, moderate directional balance, very high packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low TCP-based flow with very low throughput, very high packet rate, very high directional balance, very low packet size variability, very low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A very low UDP-based flow with high throughput, high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A very high UDP-based flow with very low throughput, very low packet rate, moderate directional balance, moderate packet size variability, very low average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a persistent low-volume communication.
A very low UDP-based flow with very high throughput, very high packet rate, moderate directional balance, very low packet size variability, low average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low TCP-based flow with very high throughput, very high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high TCP-based flow with very high throughput, high packet rate, very high directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low TCP-based flow with high throughput, high packet rate, moderate directional balance, very high packet size variability, high average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with moderate throughput, moderate packet rate, moderate directional balance, high packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very high throughput, very high packet rate, moderate directional balance, very high packet size variability, very high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A high UDP-based flow with high throughput, low packet rate, moderate directional balance, low packet size variability, very high average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with high throughput, moderate packet rate, very high directional balance, high packet size variability, high average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high TCP-based flow with very low throughput, low packet rate, moderate directional balance, very low packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a persistent low-volume communication.
A very low UDP-based flow with high throughput, very high packet rate, very high directional balance, moderate packet size variability, low average packet size, low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A moderate UDP-based flow with low throughput, low packet rate, very high directional balance, moderate packet size variability, very low average packet size, high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A high UDP-based flow with low throughput, very low packet rate, very high directional balance, high packet size variability, high average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low UDP-based flow with moderate throughput, moderate packet rate, very high directional balance, moderate packet size variability, moderate average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate TCP-based flow with high throughput, high packet rate, moderate directional balance, very high packet size variability, moderate average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high TCP-based flow with low throughput, very low packet rate, moderate directional balance, high packet size variability, high average packet size, very high inter-arrival timing, very high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with very high throughput, moderate packet rate, moderate directional balance, very low packet size variability, very high average packet size, low inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A moderate UDP-based flow with low throughput, moderate packet rate, very high directional balance, moderate packet size variability, very low average packet size, moderate inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
A low TCP-based flow with very high throughput, very high packet rate, moderate directional balance, very high packet size variability, high average packet size, very low inter-arrival timing, high active phase duration, exhibiting a burst-like transmission pattern.
A very high UDP-based flow with low throughput, very low packet rate, moderate directional balance, very low packet size variability, very high average packet size, very high inter-arrival timing, high active phase duration, exhibiting a stable communication behavior.
